Gene.ID	Gene.symbol	Description	Scientific.name	Common.name	RefSeq.Transcript.accessions	RefSeq.Protein.accessions	SPARCLE.ID	Curation.Status	RefseqSelect	Default.sequence	human_pctid	colour
101023210	DPP4	dipeptidyl peptidase 4	Papio anubis	olive baboon	XM_021923667.2	XP_021779359.2	NA	model		default-seq	97.9	#F3F588FF
105576046	DPP4	dipeptidyl peptidase 4	Cercocebus atys	sooty mangabey	XM_012038557.1	XP_011893947.1	14933217	model		default-seq	97.5	#F3F588FF
105547420	DPP4	dipeptidyl peptidase 4	Mandrillus leucophaeus	drill	XM_011991008.1	XP_011846398.1	14933217	model		default-seq	97.9	#F3F588FF
112636122	DPP4	dipeptidyl peptidase 4	Theropithecus gelada	gelada	XM_025404595.1	XP_025260380.1	14933217	model		default-seq	97.8	#F3F588FF
102133935	DPP4	dipeptidyl peptidase 4	Macaca fascicularis	crab-eating macaque	XM_005573317.2	XP_005573374.1	14933217	model		default-seq	98	#F3F588FF
654491	DPP4	dipeptidyl peptidase 4	Macaca mulatta	Rhesus monkey	NM_001039190.2	NP_001034279.2	14933217	curated		default-seq	98	#F3F588FF
105483346	DPP4	dipeptidyl peptidase 4	Macaca nemestrina	pig-tailed macaque	XM_011744179.1	XP_011742481.1	14933217	model		default-seq	98	#F3F588FF
103217182	DPP4	dipeptidyl peptidase 4	Chlorocebus sabaeus	green monkey	XM_007965151.1	XP_007963342.1	14933217	model		default-seq	97.9	#F3F588FF
117094946	DPP4	dipeptidyl peptidase 4	Trachypithecus francoisi	Francois's langur	XM_033231300.1	XP_033087191.1	NA	model		default-seq	97.5	#F3F588FF
111546068	DPP4	dipeptidyl peptidase 4	Piliocolobus tephrosceles	Ugandan red Colobus	XM_023217336.2	XP_023073104.1	14933217	model		default-seq	97.3	#F1F179FF
108517716	DPP4	dipeptidyl peptidase 4	Rhinopithecus bieti	black snub-nosed monkey	XM_017855805.1	XP_017711294.1	14933217	model		default-seq	97.9	#F3F588FF
104661281	DPP4	dipeptidyl peptidase 4	Rhinopithecus roxellana	golden snub-nosed monkey	XM_010361854.2	XP_010360156.1	14933217	model		default-seq	97.8	#F3F588FF
116810743	DPP4	dipeptidyl peptidase 4	Hylobates moloch	silvery gibbon	XM_032755565.1	XP_032611456.1	NA	model		default-seq	99	#F7FA97FF
100605220	DPP4	dipeptidyl peptidase 4	Nomascus leucogenys	northern white-cheeked gibbon	XM_003266171.3	XP_003266219.1	14933217	model		default-seq	99	#F7FA97FF
100173322	DPP4	dipeptidyl peptidase 4	Pongo abelii	Sumatran orangutan	XM_009237739.2	XP_009236014.1	14933217	model		default-seq	99.3	#F7FA97FF
459689	DPP4	dipeptidyl peptidase 4	Pan troglodytes	chimpanzee	XM_515858.5	XP_515858.2	14933217	model		default-seq	99.6	#FCFFA4FF
100983437	DPP4	dipeptidyl peptidase 4	Pan paniscus	pygmy chimpanzee	XM_003820939.2	XP_003820987.1	14933217	model		default-seq	99.5	#FCFFA4FF
1803	DPP4	dipeptidyl peptidase 4	Homo sapiens	human	NM_001935.4	NP_001926.2	14933217	curated	RefseqSelect	default-seq	100	#FCFFA4FF
101140329	DPP4	dipeptidyl peptidase 4	Gorilla gorilla	western gorilla	XM_004032706.3	XP_004032754.3	NA	model		default-seq	99	#F7FA97FF
100393303	DPP4	dipeptidyl peptidase 4	Callithrix jacchus	white-tufted-ear marmoset	XM_002749392.3	XP_002749438.1	14933217	model		default-seq	96.5	#F2EA6AFF
105708865	DPP4	dipeptidyl peptidase 4	Aotus nancymaae	Ma's night monkey	XM_012440524.1	XP_012295947.1	14933217	model		default-seq	96.5	#F2EA6AFF
101041907	DPP4	dipeptidyl peptidase 4	Saimiri boliviensis	Bolivian squirrel monkey	XM_003921932.2	XP_003921981.1	14933217	model		default-seq	96.1	#F2EA6AFF
116557074	DPP4	dipeptidyl peptidase 4	Sapajus apella	Tufted capuchin	XM_032286554.1	XP_032142445.1	NA	model		default-seq	96.5	#F2EA6AFF
101519820	DPP4	dipeptidyl peptidase 4	Ochotona princeps	American pika	XM_004577330.2	XP_004577387.1	14933217	model		default-seq	89.9	#FAC026FF
100341424	DPP4	dipeptidyl peptidase 4	Oryctolagus cuniculus	rabbit	XM_008258668.2	XP_008256890.1	NA	model		default-seq	90.3	#FAC026FF
102479789	DPP4	dipeptidyl peptidase 4	Tupaia chinensis	Chinese tree shrew	XM_006160270.2	XP_006160332.1	14933217	model		default-seq	88.8	#FBB91EFF
13482	Dpp4	dipeptidylpeptidase 4	Mus musculus	house mouse	NM_010074.3	NP_034204.1	14933217	curated	RefseqSelect	default-seq	84.5	#FB9606FF
110286562	Dpp4	dipeptidyl peptidase 4	Mus caroli	Ryukyu mouse	XM_021152985.2	XP_021008644.1	14933217	model		default-seq	84.7	#FB9C07FF
110317890	Dpp4	dipeptidyl peptidase 4	Mus pahari	shrew mouse	XM_021192699.2	XP_021048358.1	14933217	model		default-seq	76.5	#EA632AFF
116090229	Dpp4	dipeptidyl peptidase 4	Mastomys coucha	southern multimammate mouse	XM_031370422.1	XP_031226282.1	NA	model		default-seq	74.8	#E75D2EFF
114622753	Dpp4	dipeptidyl peptidase 4	Grammomys surdaster		XM_028769236.1	XP_028625069.1	14933217	model		default-seq	83.8	#FB9606FF
116901450	Dpp4	dipeptidyl peptidase 4	Rattus rattus	black rat	XM_032903386.1	XP_032759277.1	NA	model		default-seq	84.9	#FB9C07FF
25253	Dpp4	dipeptidylpeptidase 4	Rattus norvegicus	Norway rat	NM_012789.1	NP_036921.1	14933217	curated		default-seq	84.5	#FB9606FF
114702004	Dpp4	dipeptidyl peptidase 4	Peromyscus leucopus	white-footed mouse	XM_028882256.1	XP_028738089.1	14933217	model		default-seq	79.2	#F3751CFF
102915792	Dpp4	dipeptidyl peptidase 4	Peromyscus maniculatus bairdii	prairie deer mouse	XM_006984654.2	XP_006984716.1	14933217	model		default-seq	83.7	#FB9606FF
101988204	Dpp4	dipeptidyl peptidase 4	Microtus ochrogaster	prairie vole	XM_013346055.2	XP_013201509.1	14933217	model		default-seq	83.8	#FB9606FF
100768361	Dpp4	dipeptidyl peptidase 4	Cricetulus griseus	Chinese hamster	XM_027420319.1	XP_027276120.1	14933217	model		default-seq	84.9	#FB9C07FF
106021061	Dpp4	dipeptidyl peptidase 4	Mesocricetus auratus	golden hamster	NM_001310571.1	NP_001297500.1	14933217	curated		default-seq	84.3	#FB9606FF
103744090	Dpp4	dipeptidyl peptidase 4	Nannospalax galili	Upper Galilee mountains blind mole rat	XM_008845754.3	XP_008843976.1	14933217	model		default-seq	89	#FBB91EFF
101615116	Dpp4	dipeptidyl peptidase 4	Jaculus jaculus	lesser Egyptian jerboa	XM_004651712.1	XP_004651769.1	14933217	model		default-seq	89.6	#FAC026FF
105995413	Dpp4	dipeptidyl peptidase 4	Dipodomys ordii	Ord's kangaroo rat	XM_013029126.1	XP_012884580.1	14933217	model		default-seq	86.6	#FCAA0FFF
101564569	Dpp4	dipeptidyl peptidase 4	Octodon degus	degu	XM_023713776.1	XP_023569544.1	14933217	model		default-seq	88	#FCB115FF
100721104	Dpp4	dipeptidyl peptidase 4	Cavia porcellus	domestic guinea pig	XM_013142394.2	XP_012997848.1	14933217	model		default-seq	86.9	#FCAA0FFF
102019124	Dpp4	dipeptidyl peptidase 4	Chinchilla lanigera	long-tailed chinchilla	XM_005393318.2	XP_005393375.1	14933217	model		default-seq	89.2	#FBB91EFF
104850085	Dpp4	dipeptidyl peptidase 4	Fukomys damarensis	Damara mole-rat	XM_010606844.2	XP_010605146.1	14933217	model		default-seq	87.5	#FCB115FF
101722925	Dpp4	dipeptidyl peptidase 4	Heterocephalus glaber	naked mole-rat	XM_013076119.2	XP_012931573.1	14933217	model		default-seq	88.4	#FCB115FF
101955030	Dpp4	dipeptidyl peptidase 4	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	XM_005315742.2	XP_005315799.1	14933217	model		default-seq	89	#FBB91EFF
113185842	Dpp4	dipeptidyl peptidase 4	Urocitellus parryii	Arctic ground squirrel	XM_026393086.1	XP_026248871.1	14933217	model		default-seq	89.3	#FBB91EFF
114094806	Dpp4	dipeptidyl peptidase 4	Marmota flaviventris	yellow-bellied marmot	XM_027938002.1	XP_027793803.1	14933217	model		default-seq	89.3	#FBB91EFF
107136886	Dpp4	dipeptidyl peptidase 4	Marmota marmota marmota	Alpine marmot	XM_015479253.1	XP_015334739.1	14933217	model		default-seq	89.3	#FBB91EFF
105819571	DPP4	dipeptidyl peptidase 4	Propithecus coquereli	Coquerel's sifaka	XM_012655850.1	XP_012511304.1	14933217	model		default-seq	94.3	#F4DD4EFF
105855041	DPP4	dipeptidyl peptidase 4	Microcebus murinus	gray mouse lemur	XM_012735717.2	XP_012591171.2	14933217	model		default-seq	93.6	#F4DD4EFF
100942000	DPP4	dipeptidyl peptidase 4	Otolemur garnettii	small-eared galago	XM_023516350.1	XP_023372118.1	14933217	model		default-seq	93.2	#F6D543FF
101650027	DPP4	dipeptidyl peptidase 4	Echinops telfairi	small Madagascar hedgehog	XM_013004956.1	XP_012860410.1	12012129	model		default-seq	82.5	#F8880DFF
102825385	DPP4	dipeptidyl peptidase 4	Chrysochloris asiatica	Cape golden mole	XM_006866987.1	XP_006867049.1	14933217	model		default-seq	86.6	#FCAA0FFF
102852133	DPP4	dipeptidyl peptidase 4	Elephantulus edwardii	Cape elephant shrew	XM_006879485.1	XP_006879547.1	14933217	model		default-seq	85.2	#FB9C07FF
100662922	DPP4	dipeptidyl peptidase 4	Loxodonta africana	African savanna elephant	XM_023542885.1	XP_023398653.1	NA	model		default-seq	70.5	#D24644FF
103197870	DPP4	dipeptidyl peptidase 4	Orycteropus afer afer		XM_007941856.1	XP_007940047.1	14933217	model		default-seq	88.5	#FCB115FF
101418034	DPP4	dipeptidyl peptidase 4	Dasypus novemcinctus	nine-banded armadillo	XM_004464407.3	XP_004464464.1	14933217	model		default-seq	87.2	#FCAA0FFF
110591850	DPP4	dipeptidyl peptidase 4	Neomonachus schauinslandi	Hawaiian monk seal	XM_021702790.1	XP_021558465.1	14933217	model		default-seq	88.3	#FCB115FF
102743918	DPP4	dipeptidyl peptidase 4	Leptonychotes weddellii	Weddell seal	XM_031030825.1	XP_030886685.1	NA	model		default-seq	61.7	#A72E60FF
116635480	DPP4	dipeptidyl peptidase 4	Phoca vitulina	harbor seal	XM_032409468.1	XP_032265359.1	NA	model		default-seq	88.1	#FCB115FF
114216528	DPP4	dipeptidyl peptidase 4	Eumetopias jubatus	Steller sea lion	XM_028113133.1	XP_027968934.1	14933217	model		default-seq	88.8	#FBB91EFF
113920743	DPP4	dipeptidyl peptidase 4	Zalophus californianus	California sea lion	XM_027591035.1	XP_027446836.1	14933217	model		default-seq	88.8	#FBB91EFF
101383326	DPP4	dipeptidyl peptidase 4	Odobenus rosmarus divergens	Pacific walrus	XM_004410199.2	XP_004410256.1	14933217	model		default-seq	84.7	#FB9C07FF
113250838	DPP4	dipeptidyl peptidase 4	Ursus arctos horribilis		XM_026492677.1	XP_026348462.1	14933217	model		default-seq	88.4	#FCB115FF
103659868	DPP4	dipeptidyl peptidase 4	Ursus maritimus	polar bear	XM_008687491.1	XP_008685713.1	14933217	model		default-seq	83.2	#F98E09FF
100466928	DPP4	dipeptidyl peptidase 4	Ailuropoda melanoleuca	giant panda	XM_011231867.2	XP_011230169.1	14933217	model		default-seq	88.4	#FCB115FF
101672664	DPP4	dipeptidyl peptidase 4	Mustela putorius furo	domestic ferret	XM_013051995.1	XP_012907449.1	14933217	model		default-seq	86.9	#FCAA0FFF
116597685	DPP4	dipeptidyl peptidase 4	Mustela erminea	ermine	XM_032355737.1	XP_032211628.1	NA	model		default-seq	86.9	#FCAA0FFF
116880886	DPP4	dipeptidyl peptidase 4	Lontra canadensis	Northern American river otter	XM_032880292.1	XP_032736183.1	NA	model		default-seq	87.3	#FCAA0FFF
478767	DPP4	dipeptidyl peptidase 4	Canis lupus familiaris	dog	XM_014110860.2	XP_013966335.1	14933217	model		default-seq	84.6	#FB9C07FF
112674679	DPP4	dipeptidyl peptidase 4	Canis lupus dingo	dingo	XM_025471054.1	XP_025326839.1	14933217	model		default-seq	85.6	#FCA409FF
112916582	DPP4	dipeptidyl peptidase 4	Vulpes vulpes	red fox	XM_025994294.1	XP_025850079.1	14933217	model		default-seq	81.7	#F8880DFF
493787	DPP4	dipeptidyl peptidase 4	Felis catus	domestic cat	NM_001009838.1	NP_001009838.1	14933217	curated		default-seq	88	#FCB115FF
106984589	DPP4	dipeptidyl peptidase 4	Acinonyx jubatus	cheetah	XM_015082793.2	XP_014938279.1	14933217	model		default-seq	88	#FCB115FF
115520638	DPP4	dipeptidyl peptidase 4	Lynx canadensis	Canada lynx	XM_030325200.2	XP_030181060.1	NA	model		default-seq	87.9	#FCB115FF
112871826	DPP4	dipeptidyl peptidase 4	Puma concolor	puma	XM_025934890.1	XP_025790675.1	14933217	model		default-seq	87.9	#FCB115FF
