Gene.ID	Gene.symbol	Description	Scientific.name	Common.name	RefSeq.Transcript.accessions	RefSeq.Protein.accessions	SPARCLE.ID	Curation.Status	RefseqSelect	Default.sequence	human_pctid	colour
101326506	ACE2	angiotensin I converting enzyme 2	Tursiops truncatus	common bottlenose dolphin	XM_019925618.1	XP_019781177.1	11117526	model		default-seq	81.5	#F7834D
101283738	ACE2	angiotensin I converting enzyme 2	Orcinus orca	killer whale	XM_004269657.2	XP_004269705.1	11117526	model		default-seq	81.2	#F88C51
113614359	ACE2	angiotensin I converting enzyme 2	Lagenorhynchus obliquidens	Pacific white-sided dolphin	XM_027095797.1	XP_026951598.1	11117526	model		default-seq	81.4	#F88C51
115847896	ACE2	angiotensin I converting enzyme 2	Globicephala melas	long-finned pilot whale	XM_030848131.1	XP_030703991.1	NA	model		default-seq	81.2	#F88C51
111168887	ACE2	angiotensin I converting enzyme 2	Delphinapterus leucas	beluga whale	XM_022562652.2	XP_022418360.1	11117526	model		default-seq	81.5	#F7834D
114905638	ACE2	angiotensin I converting enzyme 2	Monodon monoceros	narwhal	XM_029239971.1	XP_029095804.1	11117526	model		default-seq	81.6	#F7834D
116747656	ACE2	angiotensin I converting enzyme 2	Phocoena sinus	vaquita	XM_032620110.1	XP_032476001.1	NA	model		default-seq	81.2	#F88C51
103086585	ACE2	angiotensin I converting enzyme 2	Lipotes vexillifer	Yangtze River dolphin	XM_007466327.1	XP_007466389.1	11117526	model		default-seq	81.7	#F7834D
103009000	ACE2	angiotensin I converting enzyme 2	Balaenoptera acutorostrata scammoni		XM_028164550.1	XP_028020351.1	11117526	model		default-seq	82.5	#F7834D
102996907	ACE2	angiotensin I converting enzyme 2	Physeter catodon	sperm whale	XM_024115511.2	XP_023971279.1	11117526	model		default-seq	82.7	#F57B49
109555348	ACE2	angiotensin I converting enzyme 2	Bos indicus	zebu cattle	XM_019956160.1	XP_019811719.1	11117526	model		default-seq	76.1	#FDB467
113887087	ACE2	angiotensin I converting enzyme 2	Bos indicus x Bos taurus	hybrid cattle	XM_027533926.1	XP_027389727.1	11117526	model		default-seq	76.1	#FDB467
104984774	ACE2	angiotensin I converting enzyme 2	Bison bison bison		XM_010834699.1	XP_010833001.1	NA	model		default-seq	43.5	#659BC8
509235	ACE2	angiotensin I converting enzyme 2	Bos taurus	cattle	XM_005228428.4	XP_005228485.1	11117526	model		default-seq	76.1	#FDB467
102274886	ACE2	angiotensin I converting enzyme 2	Bos mutus	wild yak	XM_005903111.1	XP_005903173.1	11117526	model		default-seq	81.4	#F88C51
102409199	ACE2	angiotensin I converting enzyme 2	Bubalus bubalis	water buffalo	XM_006041540.2	XP_006041602.1	11117526	model		default-seq	80.9	#F88C51
101103622	ACE2	angiotensin I converting enzyme 2	Ovis aries	sheep	XM_012106267.3	XP_011961657.1	11117526	model		default-seq	81.7	#F7834D
102184608	ACE2	angiotensin I converting enzyme 2	Capra hircus	goat	NM_001290107.1	NP_001277036.1	11117526	curated		default-seq	81.7	#F7834D
110150353	ACE2	angiotensin I converting enzyme 2	Odocoileus virginianus texanus		XM_020913306.1	XP_020768965.1	11117522	model		default-seq	64.4	#E9EDD8
100144303	ACE2	angiotensin I converting enzyme 2	Sus scrofa	pig	NM_001123070.1	NP_001116542.1	11117526	curated		default-seq	81.4	#F88C51
102523304	ACE2	angiotensin I converting enzyme 2	Camelus ferus	Wild Bactrian camel	XM_006194201.2	XP_006194263.1	11117526	model		default-seq	83.2	#F57B49
105100402	ACE2	angiotensin I converting enzyme 2	Camelus dromedarius	Arabian camel	XM_010993415.2	XP_010991717.1	11117526	model		default-seq	83.2	#F57B49
105079297	ACE2	angiotensin I converting enzyme 2	Camelus bactrianus	Bactrian camel	XM_010968001.1	XP_010966303.1	11117526	model		default-seq	83.2	#F57B49
102526063	ACE2	angiotensin I converting enzyme 2	Vicugna pacos	alpaca	XM_006212647.3	XP_006212709.1	11117526	model		default-seq	83.4	#F57B49
103568003	ACE2	angiotensin I converting enzyme 2	Equus przewalskii	Przewalski's horse	XM_008544773.1	XP_008542995.1	11117526	model		default-seq	87	#EB5A3A
100055952	ACE2	angiotensin I converting enzyme 2	Equus caballus	horse	XM_001490191.5	XP_001490241.1	11117526	model		default-seq	86.8	#EB5A3A
106841569	ACE2	angiotensin I converting enzyme 2	Equus asinus	ass	XM_014857647.1	XP_014713133.1	11117526	model		default-seq	83.5	#F47245
102419076	ACE2	angiotensin I converting enzyme 2	Myotis lucifugus	little brown bat	XM_023753669.1	XP_023609437.1	11117526	model		default-seq	79.3	#FA9D59
102259026	ACE2	angiotensin I converting enzyme 2	Myotis brandtii	Brandt's bat	XM_014544294.1	XP_014399780.1	11117526	model		default-seq	79.4	#FA9D59
102763166	ACE2	angiotensin I converting enzyme 2	Myotis davidii		XM_006775210.2	XP_006775273.1	11117526	model		default-seq	79.1	#FA9D59
103298184	ACE2	angiotensin I converting enzyme 2	Eptesicus fuscus	big brown bat	XM_008154928.2	XP_008153150.1	11117526	model		default-seq	80.4	#F99455
107529512	ACE2	angiotensin I converting enzyme 2	Miniopterus natalensis		XM_016202967.1	XP_016058453.1	11117526	model		default-seq	80.7	#F88C51
112313373	ACE2	angiotensin I converting enzyme 2	Desmodus rotundus	common vampire bat	XM_024569930.1	XP_024425698.1	11117526	model		default-seq	79.4	#FA9D59
114504693	ACE2	angiotensin I converting enzyme 2	Phyllostomus discolor	pale spear-nosed bat	XM_028522516.1	XP_028378317.1	11117526	model		default-seq	79.6	#F99455
105294000	ACE2	angiotensin I converting enzyme 2	Pteropus vampyrus	large flying fox	XM_011362973.2	XP_011361275.1	11117526	model		default-seq	80.6	#F88C51
102888407	ACE2	angiotensin I converting enzyme 2	Pteropus alecto	black flying fox	XM_006911647.1	XP_006911709.1	11117526	model		default-seq	81.5	#F7834D
107497263	ACE2	angiotensin I converting enzyme 2	Rousettus aegyptiacus	Egyptian rousette	XM_016118926.1	XP_015974412.1	11117526	model		default-seq	78.9	#FA9D59
109395939	ACE2	angiotensin I converting enzyme 2	Hipposideros armiger	great roundleaf bat	XM_019667391.1	XP_019522936.1	11117526	model		default-seq	80.5	#F99455
117022979	ACE2	angiotensin I converting enzyme 2	Rhinolophus ferrumequinum	greater horseshoe bat	XM_033107295.1	XP_032963186.1	NA	model		default-seq	81.5	#F7834D
102739989	ACE2	angiotensin I converting enzyme 2	Leptonychotes weddellii	Weddell seal	XM_031030890.1	XP_030886750.1	NA	model		default-seq	35.7	#3E5FA9
110572485	ACE2	angiotensin I converting enzyme 2	Neomonachus schauinslandi	Hawaiian monk seal	XM_021680805.1	XP_021536480.1	11117526	model		default-seq	82.5	#F7834D
116622877	ACE2	angiotensin I converting enzyme 2	Phoca vitulina	harbor seal	XM_032389615.1	XP_032245506.1	NA	model		default-seq	82.7	#F57B49
114218071	ACE2	angiotensin I converting enzyme 2	Eumetopias jubatus	Steller sea lion	XM_028115021.1	XP_027970822.1	11117526	model		default-seq	83.1	#F57B49
113931501	ACE2	angiotensin I converting enzyme 2	Zalophus californianus	California sea lion	XM_027609552.1	XP_027465353.1	11117526	model		default-seq	83	#F57B49
