Gene.ID	Gene.symbol	Description	Scientific.name	Common.name	RefSeq.Transcript.accessions	RefSeq.Protein.accessions	SPARCLE.ID	Curation.Status	RefseqSelect	Default.sequence	human_pctid	colour
101023210	DPP4	dipeptidyl peptidase 4	Papio anubis	olive baboon	XM_021923667.2	XP_021779359.2	NA	model		default-seq	97.9	#B20C26
105576046	DPP4	dipeptidyl peptidase 4	Cercocebus atys	sooty mangabey	XM_012038557.1	XP_011893947.1	14933217	model		default-seq	97.5	#B20C26
105547420	DPP4	dipeptidyl peptidase 4	Mandrillus leucophaeus	drill	XM_011991008.1	XP_011846398.1	14933217	model		default-seq	97.9	#B20C26
112636122	DPP4	dipeptidyl peptidase 4	Theropithecus gelada	gelada	XM_025404595.1	XP_025260380.1	14933217	model		default-seq	97.8	#B20C26
102133935	DPP4	dipeptidyl peptidase 4	Macaca fascicularis	crab-eating macaque	XM_005573317.2	XP_005573374.1	14933217	model		default-seq	98	#B20C26
654491	DPP4	dipeptidyl peptidase 4	Macaca mulatta	Rhesus monkey	NM_001039190.2	NP_001034279.2	14933217	curated		default-seq	98	#B20C26
105483346	DPP4	dipeptidyl peptidase 4	Macaca nemestrina	pig-tailed macaque	XM_011744179.1	XP_011742481.1	14933217	model		default-seq	98	#B20C26
103217182	DPP4	dipeptidyl peptidase 4	Chlorocebus sabaeus	green monkey	XM_007965151.1	XP_007963342.1	14933217	model		default-seq	97.9	#B20C26
117094946	DPP4	dipeptidyl peptidase 4	Trachypithecus francoisi	Francois's langur	XM_033231300.1	XP_033087191.1	NA	model		default-seq	97.5	#B20C26
111546068	DPP4	dipeptidyl peptidase 4	Piliocolobus tephrosceles	Ugandan red Colobus	XM_023217336.2	XP_023073104.1	14933217	model		default-seq	97.3	#B81226
108517716	DPP4	dipeptidyl peptidase 4	Rhinopithecus bieti	black snub-nosed monkey	XM_017855805.1	XP_017711294.1	14933217	model		default-seq	97.9	#B20C26
104661281	DPP4	dipeptidyl peptidase 4	Rhinopithecus roxellana	golden snub-nosed monkey	XM_010361854.2	XP_010360156.1	14933217	model		default-seq	97.8	#B20C26
116810743	DPP4	dipeptidyl peptidase 4	Hylobates moloch	silvery gibbon	XM_032755565.1	XP_032611456.1	NA	model		default-seq	99	#AB0626
100605220	DPP4	dipeptidyl peptidase 4	Nomascus leucogenys	northern white-cheeked gibbon	XM_003266171.3	XP_003266219.1	14933217	model		default-seq	99	#AB0626
100173322	DPP4	dipeptidyl peptidase 4	Pongo abelii	Sumatran orangutan	XM_009237739.2	XP_009236014.1	14933217	model		default-seq	99.3	#AB0626
459689	DPP4	dipeptidyl peptidase 4	Pan troglodytes	chimpanzee	XM_515858.5	XP_515858.2	14933217	model		default-seq	99.6	#A50026
100983437	DPP4	dipeptidyl peptidase 4	Pan paniscus	pygmy chimpanzee	XM_003820939.2	XP_003820987.1	14933217	model		default-seq	99.5	#A50026
1803	DPP4	dipeptidyl peptidase 4	Homo sapiens	human	NM_001935.4	NP_001926.2	14933217	curated	RefseqSelect	default-seq	100	#A50026
101140329	DPP4	dipeptidyl peptidase 4	Gorilla gorilla	western gorilla	XM_004032706.3	XP_004032754.3	NA	model		default-seq	99	#AB0626
100393303	DPP4	dipeptidyl peptidase 4	Callithrix jacchus	white-tufted-ear marmoset	XM_002749392.3	XP_002749438.1	14933217	model		default-seq	96.5	#BF1926
105708865	DPP4	dipeptidyl peptidase 4	Aotus nancymaae	Ma's night monkey	XM_012440524.1	XP_012295947.1	14933217	model		default-seq	96.5	#BF1926
101041907	DPP4	dipeptidyl peptidase 4	Saimiri boliviensis	Bolivian squirrel monkey	XM_003921932.2	XP_003921981.1	14933217	model		default-seq	96.1	#BF1926
116557074	DPP4	dipeptidyl peptidase 4	Sapajus apella	Tufted capuchin	XM_032286554.1	XP_032142445.1	NA	model		default-seq	96.5	#BF1926
101519820	DPP4	dipeptidyl peptidase 4	Ochotona princeps	American pika	XM_004577330.2	XP_004577387.1	14933217	model		default-seq	89.9	#DF422F
100341424	DPP4	dipeptidyl peptidase 4	Oryctolagus cuniculus	rabbit	XM_008258668.2	XP_008256890.1	NA	model		default-seq	90.3	#DF422F
102479789	DPP4	dipeptidyl peptidase 4	Tupaia chinensis	Chinese tree shrew	XM_006160270.2	XP_006160332.1	14933217	model		default-seq	88.8	#E34A33
13482	Dpp4	dipeptidylpeptidase 4	Mus musculus	house mouse	NM_010074.3	NP_034204.1	14933217	curated	RefseqSelect	default-seq	84.5	#F47245
110286562	Dpp4	dipeptidyl peptidase 4	Mus caroli	Ryukyu mouse	XM_021152985.2	XP_021008644.1	14933217	model		default-seq	84.7	#F26A41
110317890	Dpp4	dipeptidyl peptidase 4	Mus pahari	shrew mouse	XM_021192699.2	XP_021048358.1	14933217	model		default-seq	76.5	#FDB467
